h,v,minx,maxx,miny,maxy
29,5,12231455.7163,13343406.236,3335851.559,4447802.07867
30,5,13343406.236,14455356.7557,3335851.559,4447802.07867
2,6,-17791208.3147,-16679257.795,2223901.03933,3335851.559
3,6,-16679257.795,-15567307.2753,2223901.03933,3335851.559
7,6,-12231455.7163,-11119505.1967,2223901.03933,3335851.559
8,6,-11119505.1967,-10007554.677,2223901.03933,3335851.559
9,6,-10007554.677,-8895604.15733,2223901.03933,3335851.559
10,6,-8895604.15733,-7783653.63767,2223901.03933,3335851.559
11,6,-7783653.63767,-6671703.118,2223901.03933,3335851.559
16,6,-2223901.03933,-1111950.51967,2223901.03933,3335851.559
17,6,-1111950.51967,0.0,2223901.03933,3335851.559
18,6,0.0,1111950.51967,2223901.03933,3335851.559
19,6,1111950.51967,2223901.03933,2223901.03933,3335851.559
20,6,2223901.03933,3335851.559,2223901.03933,3335851.559
21,6,3335851.559,4447802.07867,2223901.03933,3335851.559
22,6,4447802.07867,5559752.59833,2223901.03933,3335851.559
23,6,5559752.59833,6671703.118,2223901.03933,3335851.559
24,6,6671703.118,7783653.63767,2223901.03933,3335851.559
25,6,7783653.63767,8895604.15733,2223901.03933,3335851.559
26,6,8895604.15733,10007554.677,2223901.03933,3335851.559
27,6,10007554.677,11119505.1967,2223901.03933,3335851.559
28,6,11119505.1967,12231455.7163,2223901.03933,3335851.559
29,6,12231455.7163,13343406.236,2223901.03933,3335851.559
30,6,13343406.236,14455356.7557,2223901.03933,3335851.559
31,6,14455356.7557,15567307.2753,2223901.03933,3335851.559
1,7,-18903158.8343,-17791208.3147,1111950.51967,2223901.03933
3,7,-16679257.795,-15567307.2753,1111950.51967,2223901.03933
7,7,-12231455.7163,-11119505.1967,1111950.51967,2223901.03933
8,7,-11119505.1967,-10007554.677,1111950.51967,2223901.03933
9,7,-10007554.677,-8895604.15733,1111950.51967,2223901.03933
10,7,-8895604.15733,-7783653.63767,1111950.51967,2223901.03933
11,7,-7783653.63767,-6671703.118,1111950.51967,2223901.03933
12,7,-6671703.118,-5559752.59833,1111950.51967,2223901.03933
15,7,-3335851.559,-2223901.03933,1111950.51967,2223901.03933
16,7,-2223901.03933,-1111950.51967,1111950.51967,2223901.03933
17,7,-1111950.51967,0.0,1111950.51967,2223901.03933
18,7,0.0,1111950.51967,1111950.51967,2223901.03933
19,7,1111950.51967,2223901.03933,1111950.51967,2223901.03933
20,7,2223901.03933,3335851.559,1111950.51967,2223901.03933
21,7,3335851.559,4447802.07867,1111950.51967,2223901.03933
22,7,4447802.07867,5559752.59833,1111950.51967,2223901.03933
23,7,5559752.59833,6671703.118,1111950.51967,2223901.03933
24,7,6671703.118,7783653.63767,1111950.51967,2223901.03933
25,7,7783653.63767,8895604.15733,1111950.51967,2223901.03933
26,7,8895604.15733,10007554.677,1111950.51967,2223901.03933
27,7,10007554.677,11119505.1967,1111950.51967,2223901.03933
28,7,11119505.1967,12231455.7163,1111950.51967,2223901.03933
29,7,12231455.7163,13343406.236,1111950.51967,2223901.03933
30,7,13343406.236,14455356.7557,1111950.51967,2223901.03933
31,7,14455356.7557,15567307.2753,1111950.51967,2223901.03933
32,7,15567307.2753,16679257.795,1111950.51967,2223901.03933
33,7,16679257.795,17791208.3147,1111950.51967,2223901.03933
34,7,17791208.3147,18903158.8343,1111950.51967,2223901.03933
0,8,-20015109.354,-18903158.8343,0.0,1111950.51967
1,8,-18903158.8343,-17791208.3147,0.0,1111950.51967
2,8,-17791208.3147,-16679257.795,0.0,1111950.51967
8,8,-11119505.1967,-10007554.677,0.0,1111950.51967
9,8,-10007554.677,-8895604.15733,0.0,1111950.51967
10,8,-8895604.15733,-7783653.63767,0.0,1111950.51967
11,8,-7783653.63767,-6671703.118,0.0,1111950.51967
12,8,-6671703.118,-5559752.59833,0.0,1111950.51967
13,8,-5559752.59833,-4447802.07867,0.0,1111950.51967
16,8,-2223901.03933,-1111950.51967,0.0,1111950.51967
17,8,-1111950.51967,0.0,0.0,1111950.51967
18,8,0.0,1111950.51967,0.0,1111950.51967
19,8,1111950.51967,2223901.03933,0.0,1111950.51967
20,8,2223901.03933,3335851.559,0.0,1111950.51967
21,8,3335851.559,4447802.07867,0.0,1111950.51967
22,8,4447802.07867,5559752.59833,0.0,1111950.51967
23,8,5559752.59833,6671703.118,0.0,1111950.51967
25,8,7783653.63767,8895604.15733,0.0,1111950.51967
26,8,8895604.15733,10007554.677,0.0,1111950.51967
27,8,10007554.677,11119505.1967,0.0,1111950.51967
28,8,11119505.1967,12231455.7163,0.0,1111950.51967
29,8,12231455.7163,13343406.236,0.0,1111950.51967
30,8,13343406.236,14455356.7557,0.0,1111950.51967
31,8,14455356.7557,15567307.2753,0.0,1111950.51967
32,8,15567307.2753,16679257.795,0.0,1111950.51967
33,8,16679257.795,17791208.3147,0.0,1111950.51967
34,8,17791208.3147,18903158.8343,0.0,1111950.51967
35,8,18903158.8343,20015109.354,0.0,1111950.51967
0,9,-20015109.354,-18903158.8343,-1111950.51967,0.0
1,9,-18903158.8343,-17791208.3147,-1111950.51967,0.0
2,9,-17791208.3147,-16679257.795,-1111950.51967,0.0
3,9,-16679257.795,-15567307.2753,-1111950.51967,0.0
4,9,-15567307.2753,-14455356.7557,-1111950.51967,0.0
8,9,-11119505.1967,-10007554.677,-1111950.51967,0.0
9,9,-10007554.677,-8895604.15733,-1111950.51967,0.0
10,9,-8895604.15733,-7783653.63767,-1111950.51967,0.0
11,9,-7783653.63767,-6671703.118,-1111950.51967,0.0
12,9,-6671703.118,-5559752.59833,-1111950.51967,0.0
13,9,-5559752.59833,-4447802.07867,-1111950.51967,0.0
14,9,-4447802.07867,-3335851.559,-1111950.51967,0.0
16,9,-2223901.03933,-1111950.51967,-1111950.51967,0.0
18,9,0.0,1111950.51967,-1111950.51967,0.0
19,9,1111950.51967,2223901.03933,-1111950.51967,0.0
20,9,2223901.03933,3335851.559,-1111950.51967,0.0
21,9,3335851.559,4447802.07867,-1111950.51967,0.0
22,9,4447802.07867,5559752.59833,-1111950.51967,0.0
23,9,5559752.59833,6671703.118,-1111950.51967,0.0
25,9,7783653.63767,8895604.15733,-1111950.51967,0.0
27,9,10007554.677,11119505.1967,-1111950.51967,0.0
28,9,11119505.1967,12231455.7163,-1111950.51967,0.0
29,9,12231455.7163,13343406.236,-1111950.51967,0.0
30,9,13343406.236,14455356.7557,-1111950.51967,0.0
31,9,14455356.7557,15567307.2753,-1111950.51967,0.0
32,9,15567307.2753,16679257.795,-1111950.51967,0.0
33,9,16679257.795,17791208.3147,-1111950.51967,0.0
34,9,17791208.3147,18903158.8343,-1111950.51967,0.0
35,9,18903158.8343,20015109.354,-1111950.51967,0.0
0,10,-20015109.354,-18903158.8343,-2223901.03933,-1111950.51967
1,10,-18903158.8343,-17791208.3147,-2223901.03933,-1111950.51967
2,10,-17791208.3147,-16679257.795,-2223901.03933,-1111950.51967
3,10,-16679257.795,-15567307.2753,-2223901.03933,-1111950.51967
4,10,-15567307.2753,-14455356.7557,-2223901.03933,-1111950.51967
5,10,-14455356.7557,-13343406.236,-2223901.03933,-1111950.51967
10,10,-8895604.15733,-7783653.63767,-2223901.03933,-1111950.51967
11,10,-7783653.63767,-6671703.118,-2223901.03933,-1111950.51967
12,10,-6671703.118,-5559752.59833,-2223901.03933,-1111950.51967
13,10,-5559752.59833,-4447802.07867,-2223901.03933,-1111950.51967
14,10,-4447802.07867,-3335851.559,-2223901.03933,-1111950.51967
17,10,-1111950.51967,0.0,-2223901.03933,-1111950.51967
19,10,1111950.51967,2223901.03933,-2223901.03933,-1111950.51967
20,10,2223901.03933,3335851.559,-2223901.03933,-1111950.51967
21,10,3335851.559,4447802.07867,-2223901.03933,-1111950.51967
22,10,4447802.07867,5559752.59833,-2223901.03933,-1111950.51967
23,10,5559752.59833,6671703.118,-2223901.03933,-1111950.51967
27,10,10007554.677,11119505.1967,-2223901.03933,-1111950.51967
28,10,11119505.1967,12231455.7163,-2223901.03933,-1111950.51967
29,10,12231455.7163,13343406.236,-2223901.03933,-1111950.51967
30,10,13343406.236,14455356.7557,-2223901.03933,-1111950.51967
31,10,14455356.7557,15567307.2753,-2223901.03933,-1111950.51967
32,10,15567307.2753,16679257.795,-2223901.03933,-1111950.51967
33,10,16679257.795,17791208.3147,-2223901.03933,-1111950.51967
34,10,17791208.3147,18903158.8343,-2223901.03933,-1111950.51967
35,10,18903158.8343,20015109.354,-2223901.03933,-1111950.51967
1,11,-18903158.8343,-17791208.3147,-3335851.559,-2223901.03933
2,11,-17791208.3147,-16679257.795,-3335851.559,-2223901.03933
3,11,-16679257.795,-15567307.2753,-3335851.559,-2223901.03933
4,11,-15567307.2753,-14455356.7557,-3335851.559,-2223901.03933
5,11,-14455356.7557,-13343406.236,-3335851.559,-2223901.03933
6,11,-13343406.236,-12231455.7163,-3335851.559,-2223901.03933
8,11,-11119505.1967,-10007554.677,-3335851.559,-2223901.03933
10,11,-8895604.15733,-7783653.63767,-3335851.559,-2223901.03933
11,11,-7783653.63767,-6671703.118,-3335851.559,-2223901.03933
12,11,-6671703.118,-5559752.59833,-3335851.559,-2223901.03933
13,11,-5559752.59833,-4447802.07867,-3335851.559,-2223901.03933
14,11,-4447802.07867,-3335851.559,-3335851.559,-2223901.03933
15,11,-3335851.559,-2223901.03933,-3335851.559,-2223901.03933
19,11,1111950.51967,2223901.03933,-3335851.559,-2223901.03933
20,11,2223901.03933,3335851.559,-3335851.559,-2223901.03933
21,11,3335851.559,4447802.07867,-3335851.559,-2223901.03933
22,11,4447802.07867,5559752.59833,-3335851.559,-2223901.03933
23,11,5559752.59833,6671703.118,-3335851.559,-2223901.03933
27,11,10007554.677,11119505.1967,-3335851.559,-2223901.03933
28,11,11119505.1967,12231455.7163,-3335851.559,-2223901.03933
29,11,12231455.7163,13343406.236,-3335851.559,-2223901.03933
30,11,13343406.236,14455356.7557,-3335851.559,-2223901.03933
31,11,14455356.7557,15567307.2753,-3335851.559,-2223901.03933
32,11,15567307.2753,16679257.795,-3335851.559,-2223901.03933
33,11,16679257.795,17791208.3147,-3335851.559,-2223901.03933
11,12,-7783653.63767,-6671703.118,-4447802.07867,-3335851.559
12,12,-6671703.118,-5559752.59833,-4447802.07867,-3335851.559
13,12,-5559752.59833,-4447802.07867,-4447802.07867,-3335851.559
16,12,-2223901.03933,-1111950.51967,-4447802.07867,-3335851.559
17,12,-1111950.51967,0.0,-4447802.07867,-3335851.559
19,12,1111950.51967,2223901.03933,-4447802.07867,-3335851.559
20,12,2223901.03933,3335851.559,-4447802.07867,-3335851.559
24,12,6671703.118,7783653.63767,-4447802.07867,-3335851.559
27,12,10007554.677,11119505.1967,-4447802.07867,-3335851.559
28,12,11119505.1967,12231455.7163,-4447802.07867,-3335851.559
29,12,12231455.7163,13343406.236,-4447802.07867,-3335851.559
30,12,13343406.236,14455356.7557,-4447802.07867,-3335851.559
31,12,14455356.7557,15567307.2753,-4447802.07867,-3335851.559
32,12,15567307.2753,16679257.795,-4447802.07867,-3335851.559
5,13,-14455356.7557,-13343406.236,-5559752.59833,-4447802.07867
12,13,-6671703.118,-5559752.59833,-5559752.59833,-4447802.07867
13,13,-5559752.59833,-4447802.07867,-5559752.59833,-4447802.07867
17,13,-1111950.51967,0.0,-5559752.59833,-4447802.07867
20,13,2223901.03933,3335851.559,-5559752.59833,-4447802.07867
21,13,3335851.559,4447802.07867,-5559752.59833,-4447802.07867
22,13,4447802.07867,5559752.59833,-5559752.59833,-4447802.07867
28,13,11119505.1967,12231455.7163,-5559752.59833,-4447802.07867
29,13,12231455.7163,13343406.236,-5559752.59833,-4447802.07867
30,13,13343406.236,14455356.7557,-5559752.59833,-4447802.07867
31,13,14455356.7557,15567307.2753,-5559752.59833,-4447802.07867
13,14,-5559752.59833,-4447802.07867,-6671703.118,-5559752.59833
14,14,-4447802.07867,-3335851.559,-6671703.118,-5559752.59833
15,14,-3335851.559,-2223901.03933,-6671703.118,-5559752.59833
16,14,-2223901.03933,-1111950.51967,-6671703.118,-5559752.59833
18,14,0.0,1111950.51967,-6671703.118,-5559752.59833
22,14,4447802.07867,5559752.59833,-6671703.118,-5559752.59833
27,14,10007554.677,11119505.1967,-6671703.118,-5559752.59833
28,14,11119505.1967,12231455.7163,-6671703.118,-5559752.59833
15,15,-3335851.559,-2223901.03933,-7783653.63767,-6671703.118
17,15,-1111950.51967,0.0,-7783653.63767,-6671703.118
18,15,0.0,1111950.51967,-7783653.63767,-6671703.118
19,15,1111950.51967,2223901.03933,-7783653.63767,-6671703.118
20,15,2223901.03933,3335851.559,-7783653.63767,-6671703.118
21,15,3335851.559,4447802.07867,-7783653.63767,-6671703.118
22,15,4447802.07867,5559752.59833,-7783653.63767,-6671703.118
23,15,5559752.59833,6671703.118,-7783653.63767,-6671703.118
24,15,6671703.118,7783653.63767,-7783653.63767,-6671703.118
14,16,-4447802.07867,-3335851.559,-8895604.15733,-7783653.63767
15,16,-3335851.559,-2223901.03933,-8895604.15733,-7783653.63767
16,16,-2223901.03933,-1111950.51967,-8895604.15733,-7783653.63767
17,16,-1111950.51967,0.0,-8895604.15733,-7783653.63767
18,16,0.0,1111950.51967,-8895604.15733,-7783653.63767
19,16,1111950.51967,2223901.03933,-8895604.15733,-7783653.63767
20,16,2223901.03933,3335851.559,-8895604.15733,-7783653.63767
21,16,3335851.559,4447802.07867,-8895604.15733,-7783653.63767
22,16,4447802.07867,5559752.59833,-8895604.15733,-7783653.63767
23,16,5559752.59833,6671703.118,-8895604.15733,-7783653.63767
14,17,-4447802.07867,-3335851.559,-10007554.677,-8895604.15733
15,17,-3335851.559,-2223901.03933,-10007554.677,-8895604.15733
16,17,-2223901.03933,-1111950.51967,-10007554.677,-8895604.15733
17,17,-1111950.51967,0.0,-10007554.677,-8895604.15733
18,17,0.0,1111950.51967,-10007554.677,-8895604.15733
19,17,1111950.51967,2223901.03933,-10007554.677,-8895604.15733
20,17,2223901.03933,3335851.559,-10007554.677,-8895604.15733
21,17,3335851.559,4447802.07867,-10007554.677,-8895604.15733
