h,v,minx,maxx,miny,maxy
16,0,-2223901.03933,-1111950.51967,8895604.15733,10007554.677
17,0,-1111950.51967,0.0,8895604.15733,10007554.677
18,0,0.0,1111950.51967,8895604.15733,10007554.677
19,0,1111950.51967,2223901.03933,8895604.15733,10007554.677
12,1,-6671703.118,-5559752.59833,7783653.63767,8895604.15733
13,1,-5559752.59833,-4447802.07867,7783653.63767,8895604.15733
14,1,-4447802.07867,-3335851.559,7783653.63767,8895604.15733
15,1,-3335851.559,-2223901.03933,7783653.63767,8895604.15733
16,1,-2223901.03933,-1111950.51967,7783653.63767,8895604.15733
17,1,-1111950.51967,0.0,7783653.63767,8895604.15733
18,1,0.0,1111950.51967,7783653.63767,8895604.15733
19,1,1111950.51967,2223901.03933,7783653.63767,8895604.15733
20,1,2223901.03933,3335851.559,7783653.63767,8895604.15733
21,1,3335851.559,4447802.07867,7783653.63767,8895604.15733
22,1,4447802.07867,5559752.59833,7783653.63767,8895604.15733
23,1,5559752.59833,6671703.118,7783653.63767,8895604.15733
9,2,-10007554.677,-8895604.15733,6671703.118,7783653.63767
10,2,-8895604.15733,-7783653.63767,6671703.118,7783653.63767
11,2,-7783653.63767,-6671703.118,6671703.118,7783653.63767
12,2,-6671703.118,-5559752.59833,6671703.118,7783653.63767
13,2,-5559752.59833,-4447802.07867,6671703.118,7783653.63767
14,2,-4447802.07867,-3335851.559,6671703.118,7783653.63767
15,2,-3335851.559,-2223901.03933,6671703.118,7783653.63767
16,2,-2223901.03933,-1111950.51967,6671703.118,7783653.63767
17,2,-1111950.51967,0.0,6671703.118,7783653.63767
18,2,0.0,1111950.51967,6671703.118,7783653.63767
19,2,1111950.51967,2223901.03933,6671703.118,7783653.63767
20,2,2223901.03933,3335851.559,6671703.118,7783653.63767
21,2,3335851.559,4447802.07867,6671703.118,7783653.63767
22,2,4447802.07867,5559752.59833,6671703.118,7783653.63767
23,2,5559752.59833,6671703.118,6671703.118,7783653.63767
24,2,6671703.118,7783653.63767,6671703.118,7783653.63767
25,2,7783653.63767,8895604.15733,6671703.118,7783653.63767
26,2,8895604.15733,10007554.677,6671703.118,7783653.63767
6,3,-13343406.236,-12231455.7163,5559752.59833,6671703.118
7,3,-12231455.7163,-11119505.1967,5559752.59833,6671703.118
8,3,-11119505.1967,-10007554.677,5559752.59833,6671703.118
9,3,-10007554.677,-8895604.15733,5559752.59833,6671703.118
10,3,-8895604.15733,-7783653.63767,5559752.59833,6671703.118
11,3,-7783653.63767,-6671703.118,5559752.59833,6671703.118
12,3,-6671703.118,-5559752.59833,5559752.59833,6671703.118
13,3,-5559752.59833,-4447802.07867,5559752.59833,6671703.118
14,3,-4447802.07867,-3335851.559,5559752.59833,6671703.118
15,3,-3335851.559,-2223901.03933,5559752.59833,6671703.118
17,3,-1111950.51967,0.0,5559752.59833,6671703.118
18,3,0.0,1111950.51967,5559752.59833,6671703.118
19,3,1111950.51967,2223901.03933,5559752.59833,6671703.118
20,3,2223901.03933,3335851.559,5559752.59833,6671703.118
21,3,3335851.559,4447802.07867,5559752.59833,6671703.118
22,3,4447802.07867,5559752.59833,5559752.59833,6671703.118
23,3,5559752.59833,6671703.118,5559752.59833,6671703.118
24,3,6671703.118,7783653.63767,5559752.59833,6671703.118
25,3,7783653.63767,8895604.15733,5559752.59833,6671703.118
26,3,8895604.15733,10007554.677,5559752.59833,6671703.118
27,3,10007554.677,11119505.1967,5559752.59833,6671703.118
28,3,11119505.1967,12231455.7163,5559752.59833,6671703.118
29,3,12231455.7163,13343406.236,5559752.59833,6671703.118
8,4,-11119505.1967,-10007554.677,4447802.07867,5559752.59833
9,4,-10007554.677,-8895604.15733,4447802.07867,5559752.59833
10,4,-8895604.15733,-7783653.63767,4447802.07867,5559752.59833
11,4,-7783653.63767,-6671703.118,4447802.07867,5559752.59833
12,4,-6671703.118,-5559752.59833,4447802.07867,5559752.59833
13,4,-5559752.59833,-4447802.07867,4447802.07867,5559752.59833
14,4,-4447802.07867,-3335851.559,4447802.07867,5559752.59833
17,4,-1111950.51967,0.0,4447802.07867,5559752.59833
18,4,0.0,1111950.51967,4447802.07867,5559752.59833
19,4,1111950.51967,2223901.03933,4447802.07867,5559752.59833
20,4,2223901.03933,3335851.559,4447802.07867,5559752.59833
21,4,3335851.559,4447802.07867,4447802.07867,5559752.59833
22,4,4447802.07867,5559752.59833,4447802.07867,5559752.59833
23,4,5559752.59833,6671703.118,4447802.07867,5559752.59833
24,4,6671703.118,7783653.63767,4447802.07867,5559752.59833
25,4,7783653.63767,8895604.15733,4447802.07867,5559752.59833
26,4,8895604.15733,10007554.677,4447802.07867,5559752.59833
27,4,10007554.677,11119505.1967,4447802.07867,5559752.59833
28,4,11119505.1967,12231455.7163,4447802.07867,5559752.59833
7,5,-12231455.7163,-11119505.1967,3335851.559,4447802.07867
8,5,-11119505.1967,-10007554.677,3335851.559,4447802.07867
9,5,-10007554.677,-8895604.15733,3335851.559,4447802.07867
10,5,-8895604.15733,-7783653.63767,3335851.559,4447802.07867
11,5,-7783653.63767,-6671703.118,3335851.559,4447802.07867
12,5,-6671703.118,-5559752.59833,3335851.559,4447802.07867
15,5,-3335851.559,-2223901.03933,3335851.559,4447802.07867
16,5,-2223901.03933,-1111950.51967,3335851.559,4447802.07867
17,5,-1111950.51967,0.0,3335851.559,4447802.07867
18,5,0.0,1111950.51967,3335851.559,4447802.07867
19,5,1111950.51967,2223901.03933,3335851.559,4447802.07867
20,5,2223901.03933,3335851.559,3335851.559,4447802.07867
21,5,3335851.559,4447802.07867,3335851.559,4447802.07867
22,5,4447802.07867,5559752.59833,3335851.559,4447802.07867
23,5,5559752.59833,6671703.118,3335851.559,4447802.07867
24,5,6671703.118,7783653.63767,3335851.559,4447802.07867
25,5,7783653.63767,8895604.15733,3335851.559,4447802.07867
26,5,8895604.15733,10007554.677,3335851.559,4447802.07867
27,5,10007554.677,11119505.1967,3335851.559,4447802.07867
28,5,11119505.1967,12231455.7163,3335851.559,4447802.07867
