"biome_name","biome_code","eco_name","eco_code","mokany_biome"
"Temperate Broadleaf & Mixed Forests",4,"Allegheny Highlands forests",328,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Appalachian mixed mesophytic forests",329,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Appalachian Piedmont forests",330,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Appalachian-Blue Ridge forests",331,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Appenine deciduous montane forests",644,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Azores temperate mixed forests",645,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Balkan mixed forests",646,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Baltic mixed forests",647,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Cantabrian mixed forests",648,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Caspian Hyrcanian mixed forests",649,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Caucasus mixed forests",650,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Celtic broadleaf forests",651,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Central Anatolian steppe and woodlands",652,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Central China Loess Plateau mixed forests",653,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Central European mixed forests",654,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Central Korean deciduous forests",655,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Changbai Mountains mixed forests",656,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Changjiang Plain evergreen forests",657,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Chatham Island temperate forests",167,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Crimean Submediterranean forest complex",658,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Daba Mountains evergreen forests",659,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Dinaric Mountains mixed forests",660,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"East Central Texas forests",332,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"East European forest steppe",661,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Eastern Anatolian deciduous forests",662,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Eastern Australian temperate forests",168,"tef"
