"biome_name","biome_code","eco_name","eco_code","mokany_biome"
"Temperate Broadleaf & Mixed Forests",4,"Eastern Canadian Forest-Boreal transition",333,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Eastern Great Lakes lowland forests",334,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Eastern Himalayan broadleaf forests",306,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"English Lowlands beech forests",663,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"European Atlantic mixed forests",664,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Euxine-Colchic broadleaf forests",665,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Fiordland temperate forests",169,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Gulf of St. Lawrence lowland forests",335,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Hokkaido deciduous forests",666,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Huang He Plain mixed forests",667,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Interior Plateau US Hardwood Forests",336,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Juan Fernández Islands temperate forests",560,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Madeira evergreen forests",668,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Magellanic subpolar forests",561,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Manchurian mixed forests",669,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Mississippi lowland forests",337,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Nelson Coast temperate forests",170,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"New England-Acadian forests",338,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"New Zealand North Island temperate forests",171,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"New Zealand South Island temperate forests",172,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Nihonkai evergreen forests",670,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Nihonkai montane deciduous forests",671,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"North Atlantic moist mixed forests",672,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Northeast China Plain deciduous forests",673,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Northeast US Coastal forests",339,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Northern Triangle temperate forests",307,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Northland temperate kauri forests",173,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Ozark Highlands mixed forests",340,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Ozark Mountain forests",341,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Pannonian mixed forests",674,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Po Basin mixed forests",675,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Pyrenees conifer and mixed forests",676,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Qin Ling Mountains deciduous forests",677,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Rakiura Island temperate forests",174,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Richmond temperate forests",175,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Rodope montane mixed forests",678,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"San Félix-San Ambrosio Islands temperate forests",562,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Sarmatic mixed forests",679,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Sichuan Basin evergreen broadleaf forests",680,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Southeast Australia temperate forests",176,"tef"
"Temperate Broadleaf & Mixed Forests",4,"Southern Great Lakes forests",342,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Southern Korea evergreen forests",681,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Taiheiyo evergreen forests",682,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Taiheiyo montane deciduous forests",683,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Tarim Basin deciduous forests and steppe",684,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Tasmanian Central Highland forests",177,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Tasmanian temperate forests",178,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Tasmanian temperate rain forests",179,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Upper Midwest US forest-savanna transition",343,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Ussuri broadleaf and mixed forests",685,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Valdivian temperate forests",563,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Western European broadleaf forests",686,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Western Great Lakes forests",344,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Western Himalayan broadleaf forests",308,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Western Siberian hemiboreal forests",687,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Westland temperate forests",180,"otbf"
"Temperate Broadleaf & Mixed Forests",4,"Zagros Mountains forest steppe",688,"otbf"
