"variable","zonal","file","pixel_values","code_file","code_col","name_col"
"agb_unr_fc_hd",0,"RCP85y50hd_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_he",0,"RCP85y50he_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_ip",0,"RCP85y50ip_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_mc",0,"RCP85y50mc_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_mg",0,"RCP85y50mg_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_mi",0,"RCP85y50mi_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_mr",0,"RCP85y50mr_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_no",0,"RCP85y50no_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_mean",0,"RCP85y50mean_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_bc",0,"RCP85y50bc_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_cc",0,"RCP85y50cc_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_gs",0,"RCP85y50gs_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_hd",0,"RCP85y50hd_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_he",0,"RCP85y50he_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_ip",0,"RCP85y50ip_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_mc",0,"RCP85y50mc_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_mg",0,"RCP85y50mg_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_mi",0,"RCP85y50mi_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_mr",0,"RCP85y50mr_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_no",0,"RCP85y50no_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot_fc_mean",0,"RCP85y50mean_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_bc",0,"RCP85y50bc_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_cc",0,"RCP85y50cc_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_gs",0,"RCP85y50gs_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_hd",0,"RCP85y50hd_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_he",0,"RCP85y50he_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_ip",0,"RCP85y50ip_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_mc",0,"RCP85y50mc_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_mg",0,"RCP85y50mg_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_mi",0,"RCP85y50mi_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_mr",0,"RCP85y50mr_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_no",0,"RCP85y50no_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr_fc_mean",0,"RCP85y50mean_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
