"variable","zonal","file","pixel_values","code_file","code_col","name_col"
"bcz",1,"Bioclimate_Zones_500m.tif","codes","bioclims.csv","bcz_code","bcz_name"
"gadm",1,"gadm36_adm0_500m.tif","codes","gadm36.csv","gadm_code","gadm_name"
"ncs",1,"NCS_Opportunity_Categories_500m.tif","codes","ncs_opp_space.csv","ncs_code","ncs_name"
"cons",1,"Societal_Constraints_500m.tif","codes","constraints.csv","cons_code","cons_name"
"agb_cur",0,"Base_Cur_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot",0,"Base_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr",0,"Base_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_cur",0,"Base_Cur_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_pot",0,"Base_Pot_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bgb_unr",0,"Base_Unr_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bio_cur",0,"Base_Cur_AGB_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bio_pot",0,"Base_Pot_AGB_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"bio_unr",0,"Base_Unr_AGB_BGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"soc_cur",0,"Base_Cur_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"soc_pot",0,"Base_Pot_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"soc_unr",0,"Base_Unr_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"tot_cur",0,"Base_Cur_AGB_BGB_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"tot_pot",0,"Base_Pot_AGB_BGB_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"tot_unr",0,"Base_Unr_AGB_BGB_SOC_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_bc",0,"RCP85y50bc_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_cc",0,"RCP85y50cc_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_gs",0,"RCP85y50gs_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_hd",0,"RCP85y50hd_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_he",0,"RCP85y50he_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_ip",0,"RCP85y50ip_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_mc",0,"RCP85y50mc_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_mg",0,"RCP85y50mg_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_mi",0,"RCP85y50mi_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_mr",0,"RCP85y50mr_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_no",0,"RCP85y50no_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_pot_fc_mean",0,"RCP85y50mean_Pot_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_bc",0,"RCP85y50bc_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_cc",0,"RCP85y50cc_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
"agb_unr_fc_gs",0,"RCP85y50gs_Unr_AGB_MgCha_500m.tif","MgC/ha",NA,NA,NA
